M X: -1236, Y: -3852, Z:518 11:45:08
M X: -1266, Y: -3860, Z:252 11:45:08
M X: -1274, Y: -3864, Z:202 11:45:08
M X: -1550, Y: -3866, Z:214 11:45:08
M X: -1548, Y: -3896, Z:519 11:45:08
M X: -1576, Y: -3908, Z:516 11:45:08
M X: -1566, Y: -3880, Z:239 11:45:08
M X: -1272, Y: -3890, Z:541 11:45:08
M X: -1538, Y: -3894, Z:538 11:45:08
M X: -1546, Y: -3896, Z:560 11:45:08
M X: -1572, Y: -3850, Z:225 11:45:08
M X: -1272, Y: -3872, Z:518 11:45:08
M X: -1592, Y: -3900, Z:542 11:45:08
M X: -1552, Y: -3900, Z:515 11:45:08
M X: -1586, Y: -3868, Z:534 11:45:08
M X: -1540, Y: -3858, Z:516 11:45:08
M X: -1274, Y: -3880, Z:563 11:45:08
M X: -1552, Y: -3870, Z:558 11:45:08
M X: -1272, Y: -3852, Z:534 11:45:08
M X: -1532, Y: -3878, Z:532 11:45:08
M X: -1552, Y: -3560, Z:515 11:45:08
M X: -1584, Y: -3862, Z:536 11:45:08
M X: -1562, Y: -3864, Z:554 11:45:08
M X: -1546, Y: -3884, Z:517 11:45:08
M X: -1582, Y: -3850, Z:532 11:45:08
M X: -1278, Y: -3936, Z:229 11:45:08
M X: -1584, Y: -3890, Z:546 11:45:08
M X: -1586, Y: -3892, Z:523 11:45:08
M X: -1594, Y: -3584, Z:516 11:45:08
M X: -1258, Y: -3904, Z:231 11:45:08
M X: -1550, Y: -3900, Z:512 11:45:08
M X: -1546, Y: -3876, Z:196 11:45:08
M X: -1600, Y: -3890, Z:180 11:45:08
M X: -1274, Y: -3884, Z:146 11:45:08
M X: -1588, Y: -3918, Z:225 11:45:08
M X: -1572, Y: -3860, Z:251 11:45:08
M X: -1552, Y: -3874, Z:522 11:45:08
M X: -1570, Y: -3862, Z:539 11:45:08
M X: -1542, Y: -3882, Z:531 11:45:09
M X: -1570, Y: -3896, Z:178 11:45:09
M X: -1586, Y: -3876, Z:221 11:45:09
M X: -1550, Y: -3904, Z:517 11:45:09
M X: -1548, Y: -3848, Z:252 11:45:09
M X: -1540, Y: -3910, Z:244 11:45:09
