-662,-5270,1831
-930,-5030,1862
-1174,-4664,1935
-1414,-4228,1975
-1626,-3670,2032
-1780,-3064,2022
-1940,-2410,2156
-2036,-1756,2182
-2074,-704,2207
-2104,-328,2165
-2076,-38,2278
-1956,138,2286
-1828,130,2317
-1674,-32,2287
-1398,-350,2272
-1088,-748,2289
-778,-1258,2281
-456,-1888,2242
-172,-2484,2215
200,-3664,2131
506,-4194,2175
1154,-4568,2170
1450,-4914,1982
1678,-5104,2023
1964,-5178,2015
2158,-5062,1869
2324,-4794,1871
2410,-4402,1758
2482,-3904,1547
2512,-3306,1693
2490,-1870,1540
2478,-1254,1476
2392,-634,1431
2322,-100,1326
2234,376,1244
2116,674,1228
1976,896,1109
1844,930,995
1740,736,937
1598,534,869
1472,150,719
1368,-428,691
1294,-1682,579
1162,-2316,557
940,-2958,506
838,-3554,373
680,-3988,384
548,-4366,312
476,-4582,227
360,-4728,204
146,-4680,115
20,-4452,138
-226,-4098,3
-368,-3672,-91
-538,-2324,-148
-628,-1704,-183
-840,-1020,-193
-862,-400,-267
-896,172,-295
-862,620,-330
-774,922,-375
-692,1134,-372
-482,1228,-348
-360,1114,-419
-88,858,-367
210,440,-484
504,-584,-404
836,-1286,-405
1454,-1868,-331
1804,-2482,-330
2136,-3062,-252
2396,-3574,-283
2600,-3944,-188
2878,-4184,-218
3062,-4240,-148
3282,-4214,-145
3350,-3988,181
3406,-3694,74
3414,-2718,155
3410,-2036,139
3266,-1426,227
3170,-796,254
3056,-206,360
2898,308,435
2754,704,460
2548,1048,628
2338,1200,623
2120,1212,738
1900,1108,819
1714,734,905
1562,-338,963
1348,-896,1021
1004,-1684,1162
784,-2374,1241
594,-3068,1361
404,-3774,1351
206,-4236,1464
36,-4730,1521
-192,-5132,1674
-356,-5320,1669
-556,-5270,1815
-842,-5184,1886
-1034,-4494,1975
-1302,-4002,2010
-1678,-3406,2038
-1808,-2806,2133
-1978,-2120,2123
-2078,-1518,2211
-2126,-972,2227
-2122,-486,2285
-2102,-132,2247
-2022,96,2537
-1886,164,2363
-1754,-176,2363
-1534,-512,2335
-974,-994,2293
-664,-1586,2321
-328,-2164,2286
10,-2776,2244
298,-3400,2281
702,-3948,2169
1014,-4370,2182
1276,-4760,2129
1598,-5062,2041
1836,-5120,1956
2064,-4914,1843
2204,-4558,1906
2426,-4088,1817
2446,-3516,1752
2502,-2842,1698
2442,-2166,1689
2442,-1568,1520
2402,-886,1498
2304,-276,1396
2214,212,1347
2150,592,1160
2002,900,1116
1828,944,1014
1740,782,936
1540,372,846
1422,-140,735
1334,-668,720
1228,-1288,642
1100,-2012,581
998,-2648,507
926,-3254,488
726,-3808,470
680,-4172,383
454,-4488,265
348,-4700,183
182,-4536,175
-150,-4254,96
-342,-3824,50
-446,-3276,9
-612,-2686,28
-778,-2022,-95
-838,-1376,-145
-918,-700,-107
-936,-74,-224
-924,416,-333
-882,808,-352
-764,1240,-275
-620,1168,-369
-216,960,-406
42,666,-303
310,168,-363
666,-404,-352
964,-964,-363
1310,-1616,-377
1606,-2228,-337
1930,-2798,-366
2156,-3340,-244
2498,-3772,-199
2696,-4236,-206
2944,-4254,-177
3310,-4114,-83
3406,-3824,-50
3382,-3394,40
3396,-2896,101
3322,-2370,159
3240,-1728,309
3190,-1066,267
3120,-458,308
2994,122,446
2828,590,533
2610,1176,553
2212,1230,642
1990,1120,814
1776,948,825
1648,530,899
1496,2,938
1310,-664,1024
1142,-1346,1073
884,-2092,1186
702,-2812,1364
456,-3416,1473
304,-4534,1598
92,-4948,1613
-310,-5214,1685
-508,-5282,1746
-698,-5238,1848
-946,-4980,1905
